// Configuracao do Teste 
3 8 8 1 9

// Caso de Teste 1
3 1 6
4 6 1
6 6 6

2 6 4
7 6 6
6 8 3

36 63 44
48 70 75
72 114 102

// Caso de Teste 2
6 1 3
7 2 4
4 8 5

3 2 8
7 5 4
5 2 1

44 59 35
57 75 43
68 88 41

// Caso de Teste 3
1 2 7
2 5 5
5 2 8

3 1 8
6 3 6
6 7 3

61 54 41
51 57 62
81 84 68

// Caso de Teste 4
8 3 4
8 5 7
8 8 3

1 8 4
1 3 5
2 6 8

48 37 66
76 58 102
84 47 88

// Caso de Teste 5
1 8 7
7 1 2
1 4 8

8 4 1
5 7 4
4 6 2

47 89 66
62 50 38
32 65 44

// Caso de Teste 6
1 1 5
6 1 5
5 6 8

1 5 3
3 3 1
5 4 8

21 11 49
26 26 74
59 41 113

// Caso de Teste 7
8 7 3
2 3 8
8 2 6

7 8 6
7 6 6
6 4 8

130 116 100
86 80 88
108 104 104

// Caso de Teste 8
8 1 8
2 4 7
5 3 3

7 6 1
8 4 3
8 5 2

70 92 85
45 53 50
56 61 61

